PSN,PresBlue,PresRed,SenBlue,SenRed,CongD2011,CongD2021,SenD2011,SenD2021,HouseD2011,HouseD2021,OBJECTID,PName,PCode,County,Pop2010,Pct_Area,Pct_Perim,CountyName,Reg_Voters,PresOther,SenOther,Shape_Length,Shape_Area,Pop2020
146,408,1418,434,1392,3,3,3,3,8,8,1846,GREEN POND STATION A,033,007,3329,19.65936505,22.66265168,ANDERSON,2707,22,25,74352.38306,211611644.3,3705
147,205,768,214,745,3,3,4,4,7,7,1842,HALL,035,007,1238,65.90847498,44.86754092,ANDERSON,1581,8,24,147202.9238,709432920.4,2603
148,429,1032,414,1064,3,3,3,3,9,9,1893,HAMMOND ANNEX,136,007,2432,5.642773447,11.27464105,ANDERSON,2055,14,9,36990.21817,60738307.88,2618
149,561,1377,576,1371,3,3,3,3,9,9,1875,HAMMOND SCHOOL,036,007,1946,17.69123517,25.60220563,ANDERSON,2640,34,24,83996.56962,190426870.5,3547
150,55,391,50,390,3,3,4,4,7,7,1872,HIGH POINT,037,007,2842,30.04632051,25.20710962,ANDERSON,597,4,9,82700.32549,323415902.3,854
151,59,296,64,285,3,3,4,4,7,6,1881,HOMELAND PARK,038,007,789,10.03565915,15.53029843,ANDERSON,571,5,13,50952.32076,108022936,933
152,209,810,224,797,3,3,4,4,7,7,1905,HONEA PATH,039,007,1468,4.531664143,10.03207428,ANDERSON,1474,13,12,32913.56369,48778426.87,2192
153,369,980,357,1004,3,3,3,3,6,9,1899,HOPEWELL,040,007,2521,12.28961173,16.26906478,ANDERSON,1742,24,20,53376.09003,132284279.7,2228
154,757,2649,780,2631,3,3,3,3,10,10,1856,HUNT MEADOWS,164,007,3449,22.28333902,28.09345122,ANDERSON,4575,58,55,92169.93123,239855865,6104
155,175,921,191,898,3,3,4,4,7,11,1901,IVA,041,007,3157,59.43801388,41.75447785,ANDERSON,1711,15,19,136989.4828,639785456.8,2661
156,132,851,141,838,3,3,4,4,11,11,1840,JACKSON MILL,042,007,865,115.4456761,66.26780325,ANDERSON,1435,5,14,217413.6178,1242646916,2001
157,207,513,218,508,3,3,3,3,6,8,1852,LA FRANCE,043,007,1999,18.24917671,21.04649755,ANDERSON,1041,21,15,69050.05071,196432503.2,1516
158,644,1085,668,1060,3,3,4,4,8,6,1849,LAKESIDE,087,007,3732,19.73389661,20.35369027,ANDERSON,2615,17,23,66777.06549,212413895.3,3816
